Date,Close Price,log.return
2016-02-04,388.61,0.051969346
2016-02-05,385.34,-0.008450209
2016-02-06,375.4,-0.026133937
2016-02-07,375.28,-0.00031971
2016-02-08,371.1,-0.011200846
2016-02-09,373.32,0.005964393
2016-02-10,379.96,0.017630023
2016-02-11,377.72,-0.005912804
2016-02-12,383.13,0.014221177
2016-02-13,392.18,0.023346561
2016-02-14,406.74,0.036453243
2016-02-15,399.48,-0.018010459
2016-02-16,407.36,0.019533614
2016-02-17,415.56,0.019929693
2016-02-18,421.64,0.014524861
2016-02-19,420.33,-0.003111752
2016-02-20,436.52,0.037794076
2016-02-21,438.98,0.005619661
2016-02-22,438.07,-0.002075139
2016-02-23,419.98,-0.042171624
2016-02-24,424.36,0.01037506
2016-02-25,423.52,-0.001981413
2016-02-26,432.06,0.019963729
2016-02-27,432.14,0.000185142
2016-02-28,432.64,0.001156364
2016-02-29,436.61,0.009134375
2016-03-01,433.64,-0.006825651
2016-03-02,421.6,-0.0281577
2016-03-03,419.47,-0.005064988
2016-03-04,407.98,-0.027773856
2016-03-05,397.83,-0.025193375
2016-03-06,404.55,0.01675056
2016-03-07,412.98,0.020623827
2016-03-08,411.76,-0.00295851
2016-03-09,412.62,0.002086417
2016-03-10,416.16,0.008542729
2016-03-11,419.89,0.008922971
2016-03-12,410.13,-0.02351859
2016-03-13,412.29,0.005252803
2016-03-14,415.09,0.006768379
2016-03-15,415.38,0.0006984
2016-03-16,416.25,0.002092277
2016-03-17,418.45,0.005271367
2016-03-18,408.04,-0.0251922
2016-03-19,408.52,0.001175664
2016-03-20,410.75,0.005443884
2016-03-21,411.42,0.001629834
2016-03-22,416.93,0.013303751
2016-03-23,417.39,0.001102695
2016-03-24,414.34,-0.007334144
2016-03-25,415.69,0.003252897
2016-03-26,416.73,0.00249874
2016-03-27,425.38,0.020544357
2016-03-28,422.76,-0.006178245
2016-03-29,415.55,-0.017201698
2016-03-30,412.69,-0.006906238
2016-03-31,415.16,0.005967282
2016-04-01,417.01,0.004446214
2016-04-02,419.69,0.006406141
2016-04-03,419.38,-0.000738913
2016-04-04,419.42,9.53743E-05
2016-04-05,422.65,0.007671609
2016-04-06,421.7,-0.002250253
2016-04-07,421.2,-0.00118638
2016-04-08,418.09,-0.00741106
2016-04-09,418.42,0.000788992
2016-04-10,421.11,0.006408369
2016-04-11,422.99,0.004454456
2016-04-12,425.99,0.007067334
2016-04-13,424.4,-0.003739465
2016-04-14,425.11,0.001671552
2016-04-15,429.98,0.011390737
2016-04-16,430.84,0.001998096
2016-04-17,427.86,-0.006940752
2016-04-18,429.05,0.002777423
2016-04-19,436.1,0.016298113
2016-04-20,442.16,0.013800233
2016-04-21,451.1,0.020017237
2016-04-22,447.64,-0.007699706
2016-04-23,452.58,0.010975205
2016-04-24,460.33,0.01697908
2016-04-25,462.51,0.004724555
2016-04-26,467.8,0.011372676
2016-04-27,445.01,-0.0499441
2016-04-28,449.86,0.010839669
2016-04-29,456.35,0.014323636
2016-04-30,449.33,-0.015502475
2016-05-01,453.04,0.008222837
2016-05-02,444.51,-0.01900787
2016-05-03,450.27,0.012874851
2016-05-04,446.96,-0.007378298
2016-05-05,448.53,0.003506464
2016-05-06,460.37,0.026054945
2016-05-07,459.46,-0.001978627
2016-05-08,459.44,-4.35303E-05
2016-05-09,461.49,0.004452029
2016-05-10,450.99,-0.023015219
2016-05-11,452.11,0.002480347
2016-05-12,454.82,0.005976223
2016-05-13,455.73,0.001998793
2016-05-14,455.75,4.38847E-05
2016-05-15,457.85,0.004597206
2016-05-16,453.41,-0.009744826
2016-05-17,452.75,-0.001456697
2016-05-18,453.38,0.001390529
2016-05-19,436.73,-0.037415471
2016-05-20,442.95,0.014141742
2016-05-21,443.13,0.000406284
2016-05-22,438.77,-0.009887823
2016-05-23,443.73,0.011240912
2016-05-24,445.13,0.003150105
2016-05-25,449.23,0.009168632
2016-05-26,453.82,0.010165638
2016-05-27,473.47,0.042387909
2016-05-28,525.43,0.104128422
2016-05-29,524.08,-0.002572631
